Postal Code,Name,Municipal Population,Total Population
2691,Saint-Quentin,9298,9576
2722,Soissons,10169,10574
6088,Nice,11120,11237
6114,Saint-André-de-la-Roche,528,533
8105,Charleville-Mézières,9664,10043
10081,La Chapelle-Saint-Luc,8559,8693
10265,Les Noës-près-Troyes,1960,1987
10362,Sainte-Savine,0,0
10387,Troyes,568,584
13202,Marseille 2e Arrondissement,0,0
13214,Marseille 14e Arrondissement,39987,40187
13215,Marseille 15e Arrondissement,19559,19665
13216,Marseille 16e Arrondissement,5154,5191
14118,Caen,11029,11314
14327,Hérouville-Saint-Clair,7390,7526
17300,La Rochelle,17103,17727
18033,Bourges,13367,13762
21166,Chenôve,9125,9271
25056,Besançon,16260,16806
25388,Montbéliard,9106,9356
26362,Valence,11451,11752
27229,Évreux,10876,11303
27306,Guichainville,0,0
27684,Le Vieil-Évreux,0,0
28134,Dreux,11181,11424
28332,Sainte-Gemme-Moronval,48,49
30189,Nîmes,17074,17432
31555,Toulouse,44217,44891
33063,Bordeaux,182,185
33119,Cenon,15553,15739
33167,Floirac,4099,4152
33249,Lormont,16524,16824
34032,Béziers,14397,14752
34172,Montpellier,15806,16015
38185,Grenoble,17437,17732
41018,Blois,13040,13636
42218,Saint-Étienne,7965,8113
44109,Nantes,10721,11025
44162,Saint-Herblain,8050,8210
44184,Saint-Nazaire,9741,10100
45234,Orléans,8010,8231
49007,Angers,9949,10251
49020,Beaucouzé,0,0
50129,Cherbourg-Octeville,8672,8942
51454,Reims,18478,18904
52448,Saint-Dizier,9300,9636
54304,Laxou,2101,2158
54357,Maxéville,3737,3796
54395,Nancy,5696,5803
54547,Vandoeuvre-lès-Nancy,15082,15254
57058,Behren-lès-Forbach,7746,7857
57463,Metz,13442,13687
57751,Woippy,6853,6933
59014,Anzin,10535,10698
59028,Auby,1366,1379
59079,Beuvrages,3845,3878
59112,Bruay-sur-l'Escaut,1043,1055
59172,Denain,5646,5688
59178,Douai,5023,5167
59179,Douchy-les-Mines,7417,7488
59205,Escaudain,118,119
59234,Flers-en-Escrebieux,1732,1749
59299,Hem,7240,7316
59327,Lallaing,915,923
59350,Lille,21696,22313
59360,Loos,359,367
59361,Lourches,241,244
59365,Louvroil,1326,1339
59367,Lys-lez-Lannoy,0,0
59392,Maubeuge,11095,11235
59414,Montigny-en-Ostrevent,1953,1969
59456,Pecquencourt,1433,1486
59491,Raismes,159,160
59509,Roost-Warendin,880,887
59512,Roubaix,34806,35098
59540,Saint-Pol-sur-Mer,10452,10572
59569,Sin-le-Noble,605,611
59599,Tourcoing,12047,12151
59606,Valenciennes,8078,8261
59654,Waziers,1809,1822
60057,Beauvais,9928,10186
60175,Creil,11724,11885
60414,Montataire,97,98
61001,Alençon,11261,11751
62193,Calais,13397,13558
62250,Courrières,1088,1099
62274,Dourges,0,0
62277,Drocourt,0,0
62427,Hénin-Beaumont,4140,4210
62587,Montigny-en-Gohelle,2175,2189
62724,Rouvroy,0,0
63063,Cébazat,0,0
63113,Clermont-Ferrand,23028,23601
66136,Perpignan,8953,9122
67447,Schiltigheim,0,0
67482,Strasbourg,25073,25430
68070,Didenheim,7,7
68218,Morschwiller-le-Bas,0,0
68224,Mulhouse,9090,9233
69256,Vaulx-en-Velin,24513,24821
69259,Vénissieux,20811,21020
69276,Feyzin,0,0
69286,Rillieux-la-Pape,18028,18297
69389,Lyon 9e Arrondissement,10272,10443
72181,Le Mans,10367,10666
76095,Bihorel,42,43
76351,Le Havre,16683,16932
76540,Rouen,11920,12182
77284,Meaux,21540,22347
77288,Melun,18070,18564
77305,Montereau-Fault-Yonne,7900,8006
78361,Mantes-la-Jolie,20981,21199
78440,Les Mureaux,13259,13384
78586,Sartrouville,16876,17036
78621,Trappes,18728,18911
80021,Amiens,13576,13892
83126,La Seyne-sur-Mer,10907,11058
83137,Toulon,11345,11495
84007,Avignon,18695,19166
89387,Sens,8467,8730
90010,Belfort,7869,8028
91174,Corbeil-Essonnes,9156,9307
91215,Épinay-sous-Sénart,11432,11503
91228,Évry,12369,12538
91286,Grigny,12810,12884
91687,Viry-Châtillon,1409,1426
93001,Aubervilliers,1587,1599
93005,Aulnay-sous-Bois,22719,22866
93007,Le Blanc-Mesnil,13111,13190
93008,Bobigny,6684,6733
93010,Bondy,9313,9374
93014,Clichy-sous-Bois,22241,22384
93027,La Courneuve,20848,21025
93029,Drancy,3063,3093
93030,Dugny,810,816
93031,Épinay-sur-Seine,10997,11066
93032,Gagny,84,85
93047,Montfermeil,8291,8373
93050,Neuilly-sur-Marne,11496,11579
93055,Pantin,6371,6415
93071,Sevran,9090,9143
93072,Stains,11635,11708
94017,Champigny-sur-Marne,13138,13247
94019,Chennevières-sur-Marne,5850,5893
94022,Choisy-le-Roi,3060,3087
94054,Orly,10748,10881
94081,Vitry-sur-Seine,24414,24607
95018,Argenteuil,27099,27496
95268,Garges-lès-Gonesse,27811,28011
95585,Sarcelles,38066,38463
95680,Villiers-le-Bel,12124,1224
